unique_id,indicator_id,name,measure,measure_info,geotype_name,geo_join_id,geo_place_name,time_period,start_date,value,borough_code
173156,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2009-10,2009-12-01,11.75,False
174142,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2009,2008-12-01,11.64,False
174176,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2010,2009-12-01,10.78,False
334178,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2015,2015-06-01,10.32,False
410961,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2016,2016-05-31,8.89,False
547595,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2016-17,2016-12-01,8.68,False
605890,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2017-18,2017-12-01,8.65,False
173258,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2012-13,2012-12-01,11.98,False
173666,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2010,2010-06-01,12.64,False
174278,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2013,2012-12-01,9.7,False
212095,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2014,2013-12-01,9.8,False
410960,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2015-16,2015-12-01,8.76,False
173768,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2013,2013-06-01,10.93,False
211891,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2013-14,2013-12-01,13.08,False
211993,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2014,2014-06-01,9.26,False
334179,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2014-15,2014-12-01,10.57,False
547593,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2017,2017-06-01,10.15,False
547594,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2017,2017-01-01,8.2,False
174244,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2012,2011-12-01,10.15,False
334177,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2015,2015-01-01,9.63,False
410962,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2016,2015-12-31,8.21,False
173122,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2008-09,2008-12-01,14.74,False
173190,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2010-11,2010-12-01,14.54,False
173700,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2011,2011-06-01,12.15,False
605886,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2018,2018-06-01,7.5,False
605887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2017-18,2017-12-01,7.73,False
173224,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2011-12,2011-12-01,10.95,False
173632,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2009,2009-06-01,11.35,False
173734,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2012,2012-06-01,11.02,False
174210,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2011,2010-12-01,11.36,False
173733,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2012,2012-06-01,9.9,False
211890,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2013-14,2013-12-01,11.77,False
334176,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2014-15,2014-12-01,8.31,False
410959,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2016,2015-12-31,6.78,False
173631,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2009,2009-06-01,10.5,False
547590,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2017,2017-06-01,8.06,False
173665,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2010,2010-06-01,11.41,False
174175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2010,2009-12-01,8.81,False
211992,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2014,2014-06-01,7.77,False
547591,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2017,2017-01-01,6.76,False
547592,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2016-17,2016-12-01,7.02,False
173257,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2012-13,2012-12-01,9.71,False
334175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2015,2015-06-01,8.62,False
410957,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2015-16,2015-12-01,7.37,False
410958,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2016,2016-05-31,7.74,False
605885,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2018,2018-01-01,6.35,False
173121,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2008-09,2008-12-01,11.83,False
173189,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2010-11,2010-12-01,11.62,False
174141,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2009,2008-12-01,9.8,False
174209,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2011,2010-12-01,9.42,False
174243,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2012,2011-12-01,8.37,False
174277,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2013,2012-12-01,7.97,False
212094,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2014,2013-12-01,8.38,False
334174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2015,2015-01-01,7.56,False
547587,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2017,2017-06-01,8.31,False
605883,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2018,2018-06-01,7.6,False
173155,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2009-10,2009-12-01,9.1,False
173223,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2011-12,2011-12-01,8.49,False
173699,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2011,2011-06-01,11.09,False
173767,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2013,2013-06-01,9.27,False
173630,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2009,2009-06-01,10.5,False
173766,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2013,2013-06-01,9.42,False
605305,386,Ozone (O3),Mean,ppb,UHF34,105106107,South Bronx,Summer 2018,2018-06-01,30.16,False
174140,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2009,2008-12-01,9.84,False
334171,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2015,2015-01-01,8.0,False
334172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2015,2015-06-01,8.81,False
410955,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2016,2016-05-31,7.94,False
174242,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2012,2011-12-01,8.31,False
334173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2014-15,2014-12-01,8.57,False
410954,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2015-16,2015-12-01,7.67,False
410956,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2016,2015-12-31,6.97,False
547588,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2017,2017-01-01,6.94,False
605882,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2018,2018-01-01,6.51,False
174276,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2013,2012-12-01,8.03,False
211991,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2014,2014-06-01,8.04,False
173120,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2008-09,2008-12-01,11.81,False
173188,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2010-11,2010-12-01,11.81,False
173256,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2012-13,2012-12-01,9.73,False
173732,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2012,2012-06-01,9.9,False
211889,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2013-14,2013-12-01,11.8,False
212093,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2014,2013-12-01,8.5,False
547589,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2016-17,2016-12-01,7.18,False
605884,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2017-18,2017-12-01,7.94,False
173154,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2009-10,2009-12-01,9.01,False
174174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2010,2009-12-01,8.77,False
334169,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2015,2015-06-01,9.07,False
547584,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2017,2017-06-01,8.64,False
173222,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2011-12,2011-12-01,8.23,False
173664,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2010,2010-06-01,11.48,False
173698,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2011,2011-06-01,11.09,False
174208,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2011,2010-12-01,9.49,False
410953,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,2015-12-31,6.94,False
605881,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2017-18,2017-12-01,7.58,False
173153,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,2009-12-01,9.29,False
173221,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2011-12,2011-12-01,8.96,False
174173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2010,2009-12-01,9.09,False
174207,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2011,2010-12-01,9.72,False
547585,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,2017-01-01,7.04,False
547586,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2016-17,2016-12-01,7.85,False
173731,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,9.87,False
211990,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2014,2014-06-01,7.99,False
334170,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,2014-12-01,8.82,False
410951,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2015-16,2015-12-01,7.43,False
605880,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2018,2018-06-01,8.01,False
173119,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2008-09,2008-12-01,12.4,False
173255,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2012-13,2012-12-01,9.51,False
173629,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,9.96,False
173765,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,9.95,False
212092,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2014,2013-12-01,8.36,False
174241,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2012,2011-12-01,8.58,False
174275,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,8.13,False
211888,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2013-14,2013-12-01,10.97,False
334168,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2015,2015-01-01,8.23,False
410952,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,2016-05-31,7.47,False
605879,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,2018-01-01,6.51,False
605876,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2018,2018-01-01,8.39,False
605877,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2018,2018-06-01,9.53,False
173187,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,12.13,False
173663,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,2010-06-01,11.31,False
173697,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,2011-06-01,11.04,False
174139,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2009,2008-12-01,9.83,False
173118,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2008-09,2008-12-01,14.88,False
173186,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2010-11,2010-12-01,14.25,False
173254,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2012-13,2012-12-01,12.13,False
174172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2010,2009-12-01,11.28,False
410950,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,2015-12-31,9.18,False
547583,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2016-17,2016-12-01,8.81,False
173764,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2013,2013-06-01,11.69,False
211887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2013-14,2013-12-01,13.89,False
334165,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2015,2015-01-01,10.21,False
334167,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2014-15,2014-12-01,10.61,False
410949,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2016,2016-05-31,9.47,False
547581,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2017,2017-06-01,10.28,False
547582,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2017,2017-01-01,8.68,False
605878,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2017-18,2017-12-01,9.82,False
173152,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2009-10,2009-12-01,11.18,False
173628,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2009,2009-06-01,12.54,False
173696,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2011,2011-06-01,12.78,False
173730,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2012,2012-06-01,11.76,False
173220,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2011-12,2011-12-01,10.86,False
173662,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2010,2010-06-01,13.31,False
174206,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2011,2010-12-01,11.71,False
174274,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2013,2012-12-01,10.44,False
212091,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2014,2013-12-01,10.79,False
410948,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2015-16,2015-12-01,9.89,False
547578,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2017,2017-06-01,11.11,False
605874,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2018,2018-06-01,10.8,False
174138,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2009,2008-12-01,12.39,False
174240,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2012,2011-12-01,10.66,False
211989,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2014,2014-06-01,10.43,False
334166,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2015,2015-06-01,10.68,False
173185,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2010-11,2010-12-01,15.35,False
173253,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2012-13,2012-12-01,13.72,False
173627,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2009,2009-06-01,13.83,False
173763,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2013,2013-06-01,12.93,False
174273,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2013,2012-12-01,11.87,False
211988,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2014,2014-06-01,11.48,False
334164,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2014-15,2014-12-01,11.74,False
410945,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2015-16,2015-12-01,10.51,False
410946,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2016,2016-05-31,10.44,False
410947,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2016,2015-12-31,10.05,False
547579,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2017,2017-01-01,9.61,False
547580,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2016-17,2016-12-01,9.74,False
174137,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2009,2008-12-01,13.74,False
174171,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2010,2009-12-01,12.66,False
212090,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2014,2013-12-01,12.08,False
605873,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2018,2018-01-01,9.58,False
