id,month_name,month,grade,enddate,pollster,samplesize,approve,influence,disapprove
32,January,1,B/C,2021-01-29,John Zogby Strategies/EMI Research Solutions,841,56.1,0,36.4
33,January,1,B-,2021-01-30,RMG Research,1200,58,0,35
34,January,1,B+,2021-01-29,HarrisX,945,61,0,39
35,January,1,B,2021-01-31,Rasmussen Reports/Pulse Opinion Research,1500,49,0,46
36,February,2,B,2021-02-01,Rasmussen Reports/Pulse Opinion Research,1500,51,0,45
37,February,2,A-,2021-02-01,Quinnipiac University,1075,49,0,36
38,February,2,,2021-02-01,AP-NORC,1055,61,0,38
39,February,2,B/C,2021-02-01,Navigator Research,1005,53,0,39
40,January,1,B,2021-01-31,Morning Consult,15000,54,0,33
41,February,2,B,2021-02-01,Morning Consult,2200,57,0,33
42,February,2,B,2021-02-01,Morning Consult,1986,58,0,35
43,February,2,B,2021-02-01,Morning Consult,15000,54,0,33
44,February,2,B,2021-02-02,Morning Consult,15000,54,0,33
45,February,2,B+,2021-02-02,YouGov,1500,46,0,38
46,February,2,B,2021-02-02,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
47,February,2,B,2021-02-03,Morning Consult,15000,54,0,33
48,February,2,B,2021-02-03,Rasmussen Reports/Pulse Opinion Research,1500,52,0,46
49,February,2,B,2021-02-04,Morning Consult,15000,54,0,34
50,February,2,B,2021-02-04,Rasmussen Reports/Pulse Opinion Research,1500,49,0,48
51,February,2,B-,2021-02-03,Ipsos,1005,57.46,0,34.28
52,February,2,A-,2021-02-03,Emerson College,1429,49,0,39
53,February,2,B,2021-02-05,Morning Consult,15000,54,0,34
54,February,2,B-,2021-02-06,RMG Research,1200,60,0,32
55,February,2,B,2021-02-07,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
56,February,2,B,2021-02-06,Morning Consult,15000,54,0,34
57,February,2,B,2021-02-08,Rasmussen Reports/Pulse Opinion Research,1500,51,0,46
58,February,2,B,2021-02-07,Morning Consult,1986,59,0,35
59,February,2,B,2021-02-07,Morning Consult,15000,55,0,33
60,February,2,B,2021-02-08,Morning Consult,15000,55,0,33
61,February,2,B+,2021-02-08,YouGov,2508,61,0,39
62,February,2,B,2021-02-09,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
63,February,2,B+,2021-02-09,YouGov,1500,50,0,37
64,February,2,B,2021-02-09,Morning Consult,15000,55,0,33
65,February,2,B,2021-02-10,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
66,February,2,B,2021-02-10,Morning Consult,15000,55,0,33
67,February,2,B+,2021-02-09,HarrisX,938,60,0,40
68,February,2,B-,2021-02-10,Ipsos,1001,57.42,0,35.18
69,February,2,B,2021-02-11,Morning Consult,15000,55,0,33
70,February,2,B,2021-02-11,Rasmussen Reports/Pulse Opinion Research,1500,52,0,45
71,February,2,C/D,2021-02-14,Saint Leo University,1000,60.9,0,32.3
72,February,2,B+,2021-02-18,Gallup,1021,56,0,40
73,February,2,B,2021-02-12,Morning Consult,15000,55,0,33
74,February,2,B,2021-02-13,Morning Consult,15000,55,0,34
75,February,2,B-,2021-02-13,RMG Research,1200,57,0,35
76,February,2,B,2021-02-14,Rasmussen Reports/Pulse Opinion Research,1500,53,0,43
77,February,2,B/C,2021-02-15,Navigator Research,1067,56,0,38
78,February,2,B,2021-02-15,Rasmussen Reports/Pulse Opinion Research,1500,53,0,44
79,February,2,B,2021-02-14,Morning Consult,15000,54,0,34
80,February,2,A-,2021-02-14,Quinnipiac University,1056,50,0,38
81,February,2,B+,2021-02-15,HarrisX,2835,59,0,41
82,February,2,B,2021-02-15,Morning Consult,1987,56,0,38
83,February,2,B,2021-02-15,Morning Consult,15000,54,0,34
84,February,2,B,2021-02-15,Morning Consult,3300,56,0,34.5
85,February,2,B,2021-02-16,Morning Consult,15000,54,0,34
86,February,2,B,2021-02-16,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
87,February,2,B/C,2021-02-18,Echelon Insights,1005,51,0,42
88,February,2,B+,2021-02-16,YouGov,1500,54,0,37
89,February,2,B,2021-02-15,Morning Consult,1984,62,0,33
90,February,2,B,2021-02-17,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
91,February,2,B,2021-02-17,Morning Consult,15000,54,0,35
92,February,2,B,2021-02-18,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
93,February,2,B,2021-02-18,Morning Consult,15000,54,0,35
94,February,2,B,2021-02-19,Morning Consult,15000,54,0,35
95,February,2,B-,2021-02-18,Ipsos,1005,55.5,0,35.95
96,February,2,B-,2021-02-21,Hart Research Associates,1000,58,0,42
97,February,2,B,2021-02-20,Morning Consult,15000,54,0,35
98,February,2,B-,2021-02-20,RMG Research,1200,56,0,37
99,February,2,B,2021-02-21,Rasmussen Reports/Pulse Opinion Research,1500,50,0,49
100,February,2,C+,2021-02-20,American Research Group,1100,58,0,34
101,February,2,B,2021-02-21,Morning Consult,15000,54,0,35
102,February,2,B,2021-02-22,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
103,February,2,B,2021-02-21,Morning Consult,2200,57,0,33
104,February,2,B,2021-02-23,Greenberg Research,1000,51.666667,0,38
105,February,2,B+,2021-02-22,YouGov,1556,50,0,38
106,February,2,B,2021-02-22,Morning Consult,15000,54,0,35
107,February,2,B,2021-02-22,Morning Consult,2013,58,0,36
108,February,2,B+,2021-02-22,YouGov,1500,51,0,36
109,February,2,B,2021-02-23,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
110,February,2,B,2021-02-23,Morning Consult,15000,54,0,35
111,February,2,A,2021-02-24,Marist College,1275,51,0,38
112,February,2,B,2021-02-24,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
113,February,2,B,2021-02-24,Morning Consult,15000,54,0,35
114,February,2,B+,2021-02-24,HarrisX,949,59,0,41
115,February,2,B,2021-02-25,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
116,February,2,B+,2021-02-25,Harris Poll,1778,61,0,39
117,February,2,B,2021-02-25,Morning Consult,15000,54,0,35
118,February,2,B+,2021-02-26,HarrisX,1909,58,0,42
119,February,2,B-,2021-02-25,Ipsos,1004,56.54,0,37.44
120,February,2,B,2021-02-26,Morning Consult,15000,54,0,35
121,February,2,B,2021-02-28,Rasmussen Reports/Pulse Opinion Research,1500,49,0,48
122,February,2,B,2021-02-27,Morning Consult,15000,54,0,35
123,February,2,B-,2021-02-27,RMG Research,1200,54,0,40
124,February,2,C/D,2021-02-28,McLaughlin & Associates,1000,55,0,40
125,February,2,A+,2021-02-27,TIPP Insights,1280,53,0,30
126,February,2,A-,2021-02-27,Public Policy Polling,1390,47,0,43
127,March,3,A,2021-03-01,Monmouth University,802,51,0,42
128,March,3,B/C,2021-03-01,Navigator Research,1007,53,0,41
129,February,2,B,2021-02-28,Morning Consult,15000,54,0,35
130,February,2,B/C,2021-02-28,Léger,1002,48,0,38
131,March,3,,2021-03-01,AP-NORC,1434,60,0,40
132,March,3,B,2021-03-01,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
133,March,3,B,2021-03-01,Morning Consult,2200,56,0,37
134,March,3,B,2021-03-01,Morning Consult,15000,54,0,35
135,March,3,B,2021-03-01,Morning Consult,1992,57,0,37
136,March,3,B,2021-03-03,Morning Consult,45000,54,0,36
137,March,3,B,2021-03-02,Morning Consult,15000,54,0,36
138,March,3,B,2021-03-04,Morning Consult,45000,54,0,36
139,March,3,B,2021-03-02,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
140,March,3,B+,2021-03-02,YouGov,1500,50,0,39
141,March,3,B,2021-03-03,Rasmussen Reports/Pulse Opinion Research,1500,49,0,48
142,March,3,B,2021-03-05,Morning Consult,45000,54,0,36
143,March,3,B,2021-03-06,Morning Consult,45000,54,0,36
144,March,3,,2021-03-07,Climate Nexus,1624,53,0,39
145,March,3,B,2021-03-04,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
146,March,3,B,2021-03-07,Morning Consult,45000,55,0,36
147,March,3,B/C,2021-03-07,Pew Research Center,6011,54,0,42
148,March,3,B-,2021-03-04,Ipsos,1005,57.86,0,34.53
149,March,3,B,2021-03-07,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
150,March,3,B,2021-03-08,Morning Consult,45000,55,0,36
151,March,3,B-,2021-03-06,RMG Research,1200,53,0,39
152,March,3,C,2021-03-08,SSRS,1009,51,0,41
153,March,3,A,2021-03-08,Marist College,1227,49,0,42
154,March,3,B,2021-03-08,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
155,March,3,,2021-03-08,The Bullfinch Group,1200,56,0,36
156,March,3,B,2021-03-08,Morning Consult,2201,58,0,34
157,March,3,B,2021-03-09,Morning Consult,45000,55,0,36
158,March,3,B,2021-03-08,Morning Consult,1990,59,0,37
159,March,3,B+,2021-03-08,HarrisX,2839,58,0,42
160,March,3,B,2021-03-10,Morning Consult,45000,55,0,36
161,March,3,B,2021-03-11,Morning Consult,45000,55,0,36
162,March,3,B+,2021-03-15,Gallup,1010,54,0,42
163,March,3,B+,2021-03-09,YouGov,1500,50,0,40
164,March,3,B,2021-03-09,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
165,March,3,B,2021-03-10,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
166,March,3,B,2021-03-12,Morning Consult,45000,55,0,36
167,March,3,B+,2021-03-10,YouGov,1306,60,0,40
168,March,3,B,2021-03-13,Morning Consult,45000,56,0,35
169,March,3,B,2021-03-11,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
170,March,3,B-,2021-03-11,Ipsos,1001,53.76,0,39.11
171,March,3,B,2021-03-14,Morning Consult,45000,56,0,35
172,March,3,B,2021-03-15,Morning Consult,45000,55,0,36
173,March,3,B+,2021-03-13,YouGov,2382,62,0,38
174,March,3,B-,2021-03-13,RMG Research,1200,57,0,37
175,March,3,B,2021-03-14,Rasmussen Reports/Pulse Opinion Research,1500,52,0,46
176,March,3,B,2021-03-15,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
177,March,3,B/C,2021-03-15,Navigator Research,1001,56,0,40
178,March,3,B,2021-03-16,Morning Consult,45000,56,0,35
179,March,3,B+,2021-03-14,HarrisX,2839,59,0,41
180,March,3,B,2021-03-15,Morning Consult,1993,62,0,34
181,March,3,B-,2021-03-16,Civiqs,1673,51,0,44
182,March,3,B,2021-03-17,Morning Consult,45000,56,0,35
183,March,3,B+,2021-03-17,YouGov,1500,53,0,37
184,March,3,B,2021-03-16,Rasmussen Reports/Pulse Opinion Research,1500,52,0,46
185,March,3,B,2021-03-18,Morning Consult,45000,56,0,35
186,March,3,B,2021-03-19,Morning Consult,45000,56,0,35
187,March,3,B,2021-03-17,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
188,March,3,B,2021-03-18,Rasmussen Reports/Pulse Opinion Research,1500,52,0,48
189,March,3,B,2021-03-20,Morning Consult,45000,56,0,35
190,March,3,B,2021-03-19,Morning Consult,2200,60,0,33
191,March,3,B-,2021-03-18,Ipsos,1005,58.74,0,35.39
192,March,3,B,2021-03-21,Morning Consult,45000,55,0,36
193,March,3,B/C,2021-03-21,Echelon Insights,1008,51,0,44
194,March,3,C+,2021-03-20,American Research Group,1100,60,0,34
195,March,3,B-,2021-03-20,RMG Research,1200,60,0,34
196,March,3,B,2021-03-21,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
197,March,3,B,2021-03-22,Morning Consult,45000,56,0,36
198,March,3,B,2021-03-22,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
199,March,3,B,2021-03-22,Morning Consult,2200,58.5,0,35
200,March,3,,2021-03-22,Climate Nexus,1310,54,0,40
201,March,3,B,2021-03-22,Morning Consult,2200,56,0,37
202,March,3,B,2021-03-23,Morning Consult,45000,55,0,36
203,March,3,B+,2021-03-22,HarrisX,2858,60,0,40
204,March,3,B,2021-03-22,Morning Consult,1994,57,0,40
205,March,3,B,2021-03-24,Morning Consult,45000,55,0,36
206,March,3,C,2021-03-26,SurveyMonkey,16336,56,0,42
207,March,3,B,2021-03-25,Morning Consult,45000,56,0,36
208,March,3,B/C,2021-03-22,Redfield & Wilton Strategies,1500,53,0,35
209,March,3,B,2021-03-23,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
210,March,3,B+,2021-03-23,YouGov,1500,50,0,41
211,March,3,B,2021-03-24,Rasmussen Reports/Pulse Opinion Research,1500,47,0,51
212,March,3,B,2021-03-26,Morning Consult,45000,55,0,36
213,March,3,A,2021-03-25,Marist College,1309,52,0,40
214,March,3,B,2021-03-27,Morning Consult,45000,55,0,36
215,March,3,B+,2021-03-25,YouGov,1606,53,0,36
216,March,3,B,2021-03-25,Rasmussen Reports/Pulse Opinion Research,1500,48,0,51
217,March,3,B,2021-03-26,Morning Consult,2140,57,0,36.5
218,March,3,B+,2021-03-25,Harris Poll,1945,61,0,39
219,March,3,B,2021-03-28,Morning Consult,45000,54,0,36
220,March,3,B-,2021-03-25,Ipsos,1005,53.46,0,40.66
221,March,3,B+,2021-03-26,HarrisX,1882,61,0,39
222,March,3,B,2021-03-28,Morning Consult,2200,57,0,36
223,March,3,B,2021-03-29,Morning Consult,45000,54,0,36
224,March,3,B/C,2021-03-29,Navigator Research,1002,55,0,41
225,March,3,B,2021-03-29,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
226,March,3,B,2021-03-29,Morning Consult,2041,55,0,38
227,March,3,B,2021-03-28,Rasmussen Reports/Pulse Opinion Research,1500,49,0,50
228,March,3,B/C,2021-03-29,GBAO,2000,54,0,43
229,March,3,B,2021-03-30,Morning Consult,45000,54,0,36
230,March,3,B,2021-03-29,Morning Consult,2043,58,0,39
231,March,3,B,2021-03-31,Morning Consult,45000,54,0,36
232,March,3,,2021-03-29,AP-NORC,1166,61,0,38
233,April,4,B,2021-04-01,Morning Consult,45000,54,0,36
234,March,3,B,2021-03-30,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
235,March,3,B+,2021-03-30,YouGov,1500,48,0,40
236,March,3,B,2021-03-31,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
237,April,4,B,2021-04-02,Morning Consult,45000,54,0,36
238,April,4,B,2021-04-03,Morning Consult,45000,54,0,36
239,April,4,B,2021-04-01,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
240,April,4,B-,2021-04-01,Ipsos,1005,54,0,40.8
241,April,4,B,2021-04-02,Morning Consult,2200,57,0,36
242,April,4,B,2021-04-04,Morning Consult,45000,55,0,36
243,April,4,B,2021-04-04,Rasmussen Reports/Pulse Opinion Research,1500,47,0,51
244,April,4,A+,2021-04-03,TIPP Insights,1436,53,0,33
245,April,4,B,2021-04-05,Morning Consult,45000,55,0,36
246,April,4,B,2021-04-04,Morning Consult,2200,54,0,39
247,April,4,B,2021-04-06,Morning Consult,45000,55,0,36
248,April,4,B,2021-04-05,Rasmussen Reports/Pulse Opinion Research,1500,47,0,51
249,April,4,B,2021-04-04,Morning Consult,2200,57,0,37
250,April,4,B+,2021-04-05,HarrisX,2732,61,0,39
251,April,4,B,2021-04-07,Morning Consult,45000,55,0,36
252,April,4,B,2021-04-06,Rasmussen Reports/Pulse Opinion Research,1500,49,0,50
253,April,4,B+,2021-04-06,YouGov,1500,49,0,41
254,April,4,B,2021-04-08,Morning Consult,45000,55,0,36
255,April,4,B,2021-04-09,Morning Consult,45000,55,0,36
256,April,4,B,2021-04-07,Rasmussen Reports/Pulse Opinion Research,1500,51,0,48
257,April,4,B,2021-04-10,Morning Consult,45000,55,0,36
258,April,4,B+,2021-04-08,YouGov,1649,52,0,38
259,April,4,B,2021-04-08,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
260,April,4,B,2021-04-11,Morning Consult,45000,54,0,37
261,April,4,B/C,2021-04-11,Pew Research Center,5109,59,0,39
262,April,4,B-,2021-04-08,Ipsos,1005,56.17,0,37.46
263,April,4,B,2021-04-12,Morning Consult,45000,55,0,36
264,April,4,B,2021-04-11,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
265,April,4,A/B,2021-04-11,The Winston Group,1000,54,0,35
266,April,4,B,2021-04-13,Morning Consult,45000,55,0,36
267,April,4,A,2021-04-12,Monmouth University,800,54,0,41
268,April,4,B+,2021-04-11,Hart Research Associates/Public Opinion Strategies,802,47,0,41
269,April,4,A,2021-04-13,Marist College,1266,53,0,39
270,April,4,B,2021-04-12,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
271,April,4,B/C,2021-04-12,Navigator Research,1256,55,0,42
272,April,4,A-,2021-04-12,Quinnipiac University,1237,48,0,42
273,April,4,B,2021-04-12,Morning Consult,1992,59,0,37
274,April,4,C/D,2021-04-13,McLaughlin & Associates,1000,57.5,0,40.5
275,April,4,B+,2021-04-13,HarrisX,3766,61,0,39
276,April,4,B,2021-04-14,Morning Consult,45000,54,0,37
277,April,4,B+,2021-04-21,Gallup,961,57,0,40
278,April,4,B-,2021-04-12,Civiqs,1541,48,0,47
279,April,4,B,2021-04-13,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
280,April,4,B,2021-04-15,Morning Consult,45000,54,0,37
281,April,4,B+,2021-04-13,YouGov,1500,49,0,42
282,April,4,B,2021-04-16,Morning Consult,45000,55,0,37
283,April,4,B,2021-04-14,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
284,April,4,B,2021-04-15,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
285,April,4,B,2021-04-17,Morning Consult,45000,54,0,37
286,April,4,B-,2021-04-16,Ipsos,4423,55,0,40
287,April,4,B-,2021-04-16,Ipsos,4423,55,0,40
288,April,4,B,2021-04-18,Morning Consult,45000,54,0,37
289,April,4,B-,2021-04-15,Ipsos,1005,54.35,0,37.56
290,April,4,B,2021-04-19,Morning Consult,45000,54,0,38
291,April,4,B-,2021-04-18,Hart Research Associates,1200,57,0,43
292,April,4,B,2021-04-18,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
293,April,4,B,2021-04-20,Morning Consult,45000,53,0,38
294,April,4,B,2021-04-19,Morning Consult,2200,58,0,35
295,April,4,B,2021-04-19,Rasmussen Reports/Pulse Opinion Research,1500,50,0,49
296,April,4,B+,2021-04-19,HarrisX,2881,61,0,39
297,April,4,B,2021-04-21,Morning Consult,45000,54,0,37
298,April,4,B-,2021-04-20,Change Research,1025,51,0,49
299,April,4,B,2021-04-19,Morning Consult,2200,57,0,36
300,April,4,B+,2021-04-20,YouGov,1500,49,0,38
301,April,4,B,2021-04-20,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
302,April,4,B,2021-04-22,Morning Consult,45000,54,0,37
303,April,4,C+,2021-04-20,American Research Group,1100,59,0,35
304,April,4,B+,2021-04-20,Hart Research Associates/Public Opinion Strategies,1000,53,0,39
305,April,4,B,2021-04-21,Rasmussen Reports/Pulse Opinion Research,1500,50,0,49
306,April,4,A,2021-04-21,Marist College,1809,54,0,44
307,April,4,A+,2021-04-21,ABC News/The Washington Post,1007,52.21,0,42.09
308,April,4,B/C,2021-04-23,Echelon Insights,1043,54,0,43
309,April,4,A,2021-04-21,Beacon Research/Shaw & Company Research,1002,54,0,43
310,April,4,B,2021-04-23,Morning Consult,45000,54,0,37
311,April,4,B,2021-04-22,Rasmussen Reports/Pulse Opinion Research,1500,52,0,46
312,April,4,B,2021-04-22,Morning Consult,2200,58,0,35
313,April,4,B,2021-04-24,Morning Consult,45000,54,0,37
314,April,4,B+,2021-04-23,YouGov,1000,51,0,44
315,April,4,B-,2021-04-22,Ipsos,1004,54.49,0,38.76
316,April,4,B,2021-04-25,Morning Consult,45000,54,0,36
317,April,4,B,2021-04-26,Morning Consult,45000,55,0,36
318,April,4,B+,2021-04-24,YouGov,2527,58,0,42
319,April,4,B,2021-04-25,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
320,April,4,B,2021-04-25,Morning Consult,1986,57,0,37
321,April,4,B,2021-04-27,Morning Consult,22000,57,0,36
322,April,4,B/C,2021-04-25,Léger,1003,51,0,39
323,April,4,B/C,2021-04-26,Navigator Research,989,53,0,44
324,April,4,B,2021-04-27,Morning Consult,45000,55,0,36
325,April,4,C,2021-04-26,SSRS,1004,53,0,43
326,April,4,B-,2021-04-25,Research Co.,1000,53,0,42
327,April,4,B,2021-04-26,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
328,April,4,B,2021-04-26,Morning Consult,14872,57,0,39
329,April,4,B,2021-04-26,Morning Consult,1991,60,0,37
330,April,4,B,2021-04-28,Morning Consult,45000,55,0,36
331,April,4,B+,2021-04-27,YouGov,1500,51,0,39
332,April,4,B,2021-04-29,Morning Consult,45000,55,0,36
333,April,4,B,2021-04-27,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
334,April,4,B+,2021-04-28,HarrisX,2819,60,0,40
335,April,4,B,2021-04-28,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
336,April,4,B,2021-04-30,Morning Consult,45000,55,0,36
337,April,4,B-,2021-04-28,Ipsos,1005,55.18,0,37.62
338,April,4,B+,2021-04-29,Harris Poll,932,59.5,0,39
339,May,5,B,2021-05-01,Morning Consult,45000,56,0,36
340,April,4,B,2021-04-28,Morning Consult,2200,60,0,33
341,April,4,B+,2021-04-29,YouGov,1558,54,0,37
342,April,4,B,2021-04-29,Rasmussen Reports/Pulse Opinion Research,1500,47,0,51
343,May,5,B,2021-05-02,Morning Consult,45000,56,0,36
344,April,4,A+,2021-04-30,TIPP Insights,1300,51,0,32
345,May,5,B,2021-05-03,Morning Consult,45000,56,0,36
346,May,5,B,2021-05-02,Rasmussen Reports/Pulse Opinion Research,1500,48,0,49
347,May,5,,2021-05-03,AP-NORC,1842,63,0,36
348,May,5,B,2021-05-02,Morning Consult,2200,53,0,39
349,May,5,B,2021-05-03,Rasmussen Reports/Pulse Opinion Research,1500,49,0,49
350,May,5,B,2021-05-02,Morning Consult,2200,55,0,38
351,May,5,B,2021-05-04,Morning Consult,45000,56,0,36
352,May,5,B,2021-05-03,Morning Consult,2200,57,0,36
353,May,5,B,2021-05-05,Morning Consult,45000,56,0,36
354,May,5,B,2021-05-03,Morning Consult,2200,55,0,37
355,May,5,B,2021-05-06,Morning Consult,45000,56,0,36
356,May,5,B+,2021-05-04,YouGov,1500,48,0,42
357,May,5,B,2021-05-04,Rasmussen Reports/Pulse Opinion Research,1500,50,0,47
358,May,5,A-,2021-05-06,Trafalgar Group,1574,48.3,0,47.5
359,May,5,B,2021-05-07,Morning Consult,45000,56,0,36
360,May,5,B,2021-05-05,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
361,May,5,B+,2021-05-04,HarrisX,939,60,0,40
362,May,5,B,2021-05-06,Morning Consult,2200,56,0,38
363,May,5,B,2021-05-08,Morning Consult,45000,55,0,36
364,May,5,B-,2021-05-05,Ipsos,1005,54.92,0,38.02
365,May,5,B,2021-05-06,Rasmussen Reports/Pulse Opinion Research,1500,51,0,47
366,May,5,A,2021-05-07,Marist College,1249,53,0,41
367,May,5,B,2021-05-09,Morning Consult,45000,55,0,36
368,May,5,B,2021-05-10,Morning Consult,45000,55,0,37
369,May,5,B,2021-05-09,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
370,May,5,B,2021-05-11,Morning Consult,45000,55,0,37
371,May,5,B/C,2021-05-09,Léger,1003,52,0,38
372,May,5,B,2021-05-09,Morning Consult,2200,55,0,39
373,May,5,B,2021-05-09,Morning Consult,2200,55,0,39
374,May,5,B/C,2021-05-10,Navigator Research,1000,55,0,41
375,May,5,B,2021-05-10,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
376,May,5,B,2021-05-12,Morning Consult,45000,55,0,37
377,May,5,B/C,2021-05-09,Redfield & Wilton Strategies,1500,52,0,36
378,May,5,B,2021-05-11,Rasmussen Reports/Pulse Opinion Research,1500,48,0,50
379,May,5,B+,2021-05-11,YouGov,1500,51,0,39
380,May,5,B-,2021-05-11,Civiqs,1464,48,0,46
381,May,5,B,2021-05-13,Morning Consult,45000,54,0,37
382,May,5,B,2021-05-14,Morning Consult,45000,54,0,37
383,May,5,B,2021-05-12,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
384,May,5,B+,2021-05-18,Gallup,1016,54,0,40
385,May,5,B,2021-05-13,Rasmussen Reports/Pulse Opinion Research,1500,49,0,50
386,May,5,B+,2021-05-13,YouGov,1561,49,0,40
387,May,5,B,2021-05-15,Morning Consult,45000,54,0,37
388,May,5,B-,2021-05-12,Ipsos,1005,55.91,0,38.48
389,May,5,B,2021-05-16,Morning Consult,45000,54,0,37
390,May,5,B,2021-05-17,Morning Consult,45000,54,0,37
391,May,5,B,2021-05-16,Rasmussen Reports/Pulse Opinion Research,1500,51,0,48
392,May,5,B,2021-05-15,Morning Consult,2200,56,0,38.5
393,May,5,B,2021-05-18,Morning Consult,45000,54,0,38
394,May,5,B,2021-05-16,Morning Consult,2200,56,0,36
395,May,5,B,2021-05-17,Rasmussen Reports/Pulse Opinion Research,1500,50,0,48
396,May,5,C/D,2021-05-18,McLaughlin & Associates,1000,56,0,43
397,May,5,B,2021-05-17,Morning Consult,1992,54,0,42
398,May,5,B/C,2021-05-17,Echelon Insights,1132,56,0,42
399,May,5,B,2021-05-17,Morning Consult,2200,56,0,38
400,May,5,B,2021-05-19,Morning Consult,45000,54,0,38
401,May,5,B,2021-05-18,Rasmussen Reports/Pulse Opinion Research,1500,51,0,48
402,May,5,B+,2021-05-18,YouGov,1500,51,0,41
403,May,5,B,2021-05-20,Morning Consult,45000,54,0,38
